"filename", "language", "JSON", "C++", "Makefile", "JavaScript", "TypeScript", "Batch", "Markdown", "comment", "blank", "total"
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\test\realworld\fib.cpp", "C++", 0, 18, 0, 0, 0, 0, 0, 2, 5, 25
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\test\realworld\fib.json", "JSON", 729, 0, 0, 0, 0, 0, 0, 0, 0, 729
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\test\realworld\fib.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 10, 32
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\test\realworld\num1.cpp", "C++", 0, 6, 0, 0, 0, 0, 0, 2, 4, 12
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\test\realworld\num1.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\test\sum.cpp", "C++", 0, 4, 0, 0, 0, 0, 0, 2, 4, 10
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\test\sum.hpp", "C++", 0, 1, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\test\sum.json", "JSON", 138, 0, 0, 0, 0, 0, 0, 0, 0, 138
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\test\sum.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\test\test.cpp", "C++", 0, 14, 0, 0, 0, 0, 0, 2, 3, 19
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\test\test.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\test\test.json", "JSON", 296, 0, 0, 0, 0, 0, 0, 0, 0, 296
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\test\test.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\tuhsrobotics\Documents\GitHub\fast-ts\tsconfig.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 1, 0, 10
"Total", "-", 10405, 122, 6, 104, 855, 1, 29, 101, 285, 11908
